candidato,origen,orden_clases,cantidad_reglas,antecedentes_promedio,antecedentes_max,cobertura_train,cobertura_val,cobertura_test,hard_ba_train,hard_ba_val,hard_ba_test,hard_f1_macro_val,hard_f1_macro_test,hard_acc_val,hard_acc_test,fuzzy_ba_train,fuzzy_ba_val,fuzzy_ba_test,fuzzy_f1_macro_val,fuzzy_f1_macro_test,fuzzy_acc_val,fuzzy_acc_test,gap_fuzzy_ba,reglas_por_clase,puntaje_pre_ag
96,bootstrap_090,"['low risk', 'mid risk', 'high risk']",19,2.5789473684210527,4,0.8832391713747646,0.8418079096045198,0.8486842105263158,0.64061331750011,0.6036698614574815,0.5865217342133326,0.6170498084291188,0.6032085960240429,0.615819209039548,0.5986842105263158,0.6523260544486958,0.5954145355363338,0.6158791045401658,0.600048786911292,0.626237618056372,0.5932203389830508,0.6118421052631579,0.056911518912362014,"{'bajo': 6, 'medio': 4, 'alto': 9}",0.5955313337656264
82,bootstrap_076,"['mid risk', 'low risk', 'high risk']",17,2.7058823529411766,4,0.9717514124293786,0.9322033898305084,0.9736842105263158,0.6271908123323218,0.5667477639003876,0.5991572549716169,0.5535155466671003,0.5787565822259025,0.5932203389830508,0.6217105263157895,0.6372185204732375,0.590401405911125,0.6211189855127419,0.585656922292024,0.6043085375551218,0.6101694915254238,0.6381578947368421,0.04681711456211246,"{'bajo': 9, 'medio': 3, 'alto': 5}",0.5952454312197877
114,bootstrap_108,"['low risk', 'mid risk', 'high risk']",25,2.92,5,0.8738229755178908,0.8587570621468926,0.8651315789473685,0.6113053613053613,0.5727851905277076,0.5820252756983015,0.5546411796411796,0.5561306029232393,0.6045197740112994,0.6085526315789473,0.6403329375027488,0.6086931494000667,0.6426918745089587,0.6074071060850542,0.6390425268786082,0.632768361581921,0.6611842105263158,0.03163978810268209,"{'bajo': 12, 'medio': 4, 'alto': 9}",0.5951880402236354
61,bootstrap_055,"['high risk', 'mid risk', 'low risk']",26,2.923076923076923,6,0.8210922787193974,0.807909604519774,0.8388157894736842,0.6793249989004706,0.6013723886775395,0.6104512890313422,0.6127244720759886,0.6201676250610743,0.6101694915254238,0.6151315789473685,0.659629678497603,0.6091519667348967,0.6200835161121433,0.6121393447278233,0.6226572695763934,0.6045197740112994,0.618421052631579,0.05047771176270632,"{'bajo': 9, 'medio': 5, 'alto': 12}",0.5948314704395807
85,bootstrap_079,"['high risk', 'mid risk', 'low risk']",23,2.9130434782608696,5,0.9190207156308852,0.8926553672316384,0.930921052631579,0.6255745041122399,0.5699527130326133,0.6386670817857839,0.5063563887093299,0.5880345776110388,0.576271186440678,0.6480263157894737,0.6581892949817477,0.6052731825500424,0.6598863877518573,0.5833716649764346,0.6353915232091413,0.6101694915254238,0.6677631578947368,0.05291611243170535,"{'bajo': 7, 'medio': 3, 'alto': 13}",0.5943340314807659
72,bootstrap_066,"['low risk', 'mid risk', 'high risk']",18,3.0,5,0.6949152542372882,0.6892655367231638,0.7532894736842105,0.6175177024233628,0.5745865988091067,0.6264972395243958,0.5824311792186174,0.629286739324361,0.5819209039548022,0.6282894736842105,0.6050490390113031,0.6243911358522575,0.6532564564660457,0.61480026680501,0.6490070880921612,0.6101694915254238,0.6447368421052632,0.0,"{'bajo': 7, 'medio': 4, 'alto': 7}",0.5940194680407676
91,bootstrap_085,"['high risk', 'mid risk', 'low risk']",24,3.0,5,0.7853107344632768,0.7853107344632768,0.7763157894736842,0.6128227118793156,0.5548608395172091,0.556955141190394,0.5426476978387577,0.5290404958947202,0.5875706214689266,0.5855263157894737,0.6657595549104983,0.6233448291624976,0.6287833883166588,0.6214868999808759,0.6194771241830065,0.6440677966101694,0.6414473684210527,0.04241472574800076,"{'bajo': 8, 'medio': 5, 'alto': 11}",0.5932036096417059
52,bootstrap_046,"['mid risk', 'low risk', 'high risk']",22,3.1363636363636362,5,0.8380414312617702,0.8418079096045198,0.8322368421052632,0.6335131063904649,0.5756887762444362,0.5689786273527574,0.5938545958390047,0.5854813875536827,0.5988700564971752,0.5888157894736842,0.6599018120244535,0.6049531955526887,0.5969429537188752,0.6065039793853353,0.5992944809329663,0.6271186440677966,0.618421052631579,0.054948616471764855,"{'bajo': 8, 'medio': 7, 'alto': 7}",0.593198111100629
45,bootstrap_039,"['mid risk', 'high risk', 'low risk']",20,3.3,5,0.7721280602636534,0.7627118644067796,0.7927631578947368,0.6123031842371466,0.5554872690887481,0.571272759204967,0.5725497316401206,0.5885621402862783,0.576271186440678,0.5888157894736842,0.6522215991555614,0.6210473563825554,0.6097684047783936,0.6177060740619106,0.6044088263581248,0.6384180790960452,0.625,0.031174242773006067,"{'bajo': 8, 'medio': 6, 'alto': 6}",0.593104213717246
17,bootstrap_011,"['low risk', 'high risk', 'mid risk']",25,3.08,6,0.8738229755178908,0.8983050847457628,0.9046052631578947,0.6124158860007917,0.582374642130944,0.6269822104161636,0.563573883161512,0.6045107992782411,0.6045197740112994,0.6480263157894737,0.6090568236794652,0.595583840825939,0.6185560906423236,0.5736088624019658,0.6003542765769153,0.615819209039548,0.631578947368421,0.013472982853526272,"{'bajo': 11, 'medio': 5, 'alto': 9}",0.5920345944112549
102,bootstrap_096,"['low risk', 'mid risk', 'high risk']",19,2.789473684210526,5,0.7080979284369114,0.7175141242937854,0.75,0.6591541320314905,0.5957429877981678,0.596512533736744,0.607416539685633,0.6042555756209027,0.6045197740112994,0.6052631578947368,0.6210444429784053,0.6092518568557638,0.6389641181413042,0.6036392634478759,0.6333438623094226,0.5988700564971752,0.631578947368421,0.011792586122641557,"{'bajo': 8, 'medio': 2, 'alto': 9}",0.5910502354555496
33,bootstrap_027,"['mid risk', 'high risk', 'low risk']",26,2.8846153846153846,5,0.9096045197740112,0.8926553672316384,0.8980263157894737,0.6388595681048511,0.5637341297454156,0.5929657267278835,0.5761512228284293,0.6034547876742248,0.5706214689265536,0.5986842105263158,0.6494672780050138,0.5994033681594314,0.618032867588311,0.6056355222397957,0.6174970458940777,0.615819209039548,0.6348684210526315,0.0500639098455824,"{'bajo': 12, 'medio': 3, 'alto': 11}",0.5902744034836632
74,bootstrap_068,"['high risk', 'low risk', 'mid risk']",23,3.1739130434782608,6,0.7890772128060264,0.8248587570621468,0.805921052631579,0.6308907287680873,0.6008052159573621,0.5896078521377636,0.6206742179072277,0.6039373872027726,0.615819209039548,0.6019736842105263,0.6317621058187095,0.5924703165501,0.6343455853345866,0.605096549540994,0.6375159473198689,0.5988700564971752,0.6414473684210527,0.039291789268609545,"{'bajo': 9, 'medio': 5, 'alto': 9}",0.590177142663406
112,bootstrap_106,"['mid risk', 'low risk', 'high risk']",25,3.2,5,0.8342749529190208,0.8248587570621468,0.875,0.6396154945683247,0.5887303627027219,0.596998502511005,0.6052088475766808,0.6157184908819299,0.5932203389830508,0.5986842105263158,0.6295987817214233,0.5987075234191542,0.6301188877202576,0.6006473509716818,0.6391452892911359,0.5988700564971752,0.631578947368421,0.03089125830226902,"{'bajo': 9, 'medio': 6, 'alto': 10}",0.589355882138391
40,bootstrap_034,"['mid risk', 'low risk', 'high risk']",25,3.12,6,0.9303201506591338,0.9209039548022598,0.9013157894736842,0.6605065531952324,0.5584518047097345,0.5784764729244544,0.5750558213716109,0.5956311394907886,0.5706214689265536,0.5888157894736842,0.6443352245239038,0.5928580256632959,0.615089114232931,0.598676177623546,0.6169416797291611,0.6045197740112994,0.6217105263157895,0.051477198860607865,"{'bajo': 11, 'medio': 5, 'alto': 9}",0.5887535270731451
56,bootstrap_050,"['high risk', 'low risk', 'mid risk']",23,3.0,5,0.8380414312617702,0.8587570621468926,0.819078947368421,0.6760593965782645,0.5891180718159178,0.6108048720614855,0.6000690131124914,0.6228379431813519,0.5988700564971752,0.618421052631579,0.6441675462901878,0.5902524172562723,0.6103471766245361,0.5960945785763304,0.6137648276411114,0.5875706214689266,0.6019736842105263,0.05391512903391549,"{'bajo': 7, 'medio': 5, 'alto': 11}",0.5884892306119464
124,bootstrap_118,"['mid risk', 'low risk', 'high risk']",22,2.8636363636363638,5,0.7419962335216572,0.7005649717514124,0.7467105263157895,0.5993589743589743,0.534559442240654,0.5624647830636723,0.5053105624719386,0.5352401318720484,0.5706214689265536,0.5921052631578947,0.6550941197167612,0.6352520701804286,0.6288954837834116,0.6137851310982616,0.6045901143163139,0.6497175141242938,0.6414473684210527,0.019842049536332618,"{'bajo': 10, 'medio': 2, 'alto': 10}",0.588480831346496
78,bootstrap_072,"['low risk', 'mid risk', 'high risk']",22,3.090909090909091,5,0.8361581920903954,0.847457627118644,0.8782894736842105,0.6063822184105203,0.5817871527760142,0.5953114158422494,0.570677488634145,0.5699092803101187,0.6101694915254238,0.618421052631579,0.6168332453709812,0.5927987688119339,0.6363952359759257,0.584421433991824,0.6200994433549255,0.6101694915254238,0.6513157894736842,0.024034476559047224,"{'bajo': 8, 'medio': 5, 'alto': 9}",0.5882429972442643
