id_global,iteracion_origen,id_origen,clase,precision,recall,f1,cobertura,aciertos,errores,antecedentes
RG2797,19,R204,high risk,0.0,0.0,0.0,7,0,7,edad=adolescente AND presion_sistolica=elevada AND presion_diastolica=elevada AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG2397,16,R122,high risk,0.0,0.0,0.0,6,0,6,edad=optima AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG0542,3,R173,high risk,0.0,0.0,0.0,5,0,5,edad=adolescente AND presion_sistolica=hipotension AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG1747,11,R129,high risk,0.0,0.0,0.0,5,0,5,edad=adolescente AND presion_sistolica=normal AND presion_diastolica=hipertension AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0535,3,R164,high risk,0.0,0.0,0.0,4,0,4,edad=adolescente AND presion_sistolica=elevada AND presion_diastolica=elevada AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=fiebre AND frecuencia_cardiaca=normal
RG2305,15,R148,high risk,0.0,0.0,0.0,4,0,4,edad=optima AND presion_sistolica=normal AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=febricular AND frecuencia_cardiaca=normal
RG0066,1,R066,high risk,0.0,0.0,0.0,2,0,2,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=fiebre AND frecuencia_cardiaca=normal
RG0160,1,R160,high risk,0.0,0.0,0.0,2,0,2,edad=optima AND presion_sistolica=elevada AND presion_diastolica=elevada AND azucar_sangre=normoglucemia AND temperatura_corporal=febricular AND frecuencia_cardiaca=normal
RG1165,7,R135,high risk,0.0,0.0,0.0,2,0,2,edad=adolescente AND presion_sistolica=hipotension AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=febricular AND frecuencia_cardiaca=normal
RG2016,13,R111,high risk,0.0,0.0,0.0,2,0,2,edad=adolescente AND presion_sistolica=elevada AND presion_diastolica=elevada AND azucar_sangre=normoglucemia AND temperatura_corporal=febricular AND frecuencia_cardiaca=normal
RG2323,15,R172,high risk,0.0,0.0,0.0,2,0,2,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=elevada AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=fiebre AND frecuencia_cardiaca=normal
RG2429,16,R167,high risk,0.0,0.0,0.0,2,0,2,edad=optima AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=febricular AND frecuencia_cardiaca=normal
RG0124,1,R124,high risk,0.0,0.0,0.0,1,0,1,edad=optima AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=hiperpirexia AND frecuencia_cardiaca=normal
RG0496,3,R119,high risk,0.0,0.0,0.0,1,0,1,edad=adolescente AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG1400,9,R029,high risk,0.0,0.0,0.0,1,0,1,edad=muy_avanzada AND presion_sistolica=normal AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=hiperpirexia AND frecuencia_cardiaca=normal
RG1429,9,R075,high risk,0.0,0.0,0.0,1,0,1,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=hiperpirexia AND frecuencia_cardiaca=normal
RG2092,14,R019,high risk,0.0,0.0,0.0,1,0,1,edad=muy_avanzada AND presion_sistolica=normal AND presion_diastolica=elevada AND azucar_sangre=normoglucemia AND temperatura_corporal=fiebre AND frecuencia_cardiaca=normal
RG2656,18,R146,high risk,0.0,0.0,0.0,1,0,1,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=hiperpirexia AND frecuencia_cardiaca=normal
RG2734,19,R087,high risk,0.0,0.0,0.0,1,0,1,edad=adolescente AND presion_sistolica=hipotension AND presion_diastolica=normal AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=bradicardia
RG0008,1,R008,high risk,0.0,0.0,0.0,0,0,0,edad=adolescente AND presion_sistolica=hipotension AND presion_diastolica=hipertension AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0009,1,R009,high risk,0.0,0.0,0.0,0,0,0,edad=optima AND presion_sistolica=normal AND presion_diastolica=hipertension_severa AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0011,1,R011,high risk,0.0,0.0,0.0,0,0,0,edad=adolescente AND presion_sistolica=normal AND presion_diastolica=hipertension AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=fiebre AND frecuencia_cardiaca=normal
RG0023,1,R023,high risk,0.0,0.0,0.0,0,0,0,edad=muy_avanzada AND presion_sistolica=elevada AND presion_diastolica=hipertension AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=fiebre AND frecuencia_cardiaca=bradicardia
RG0026,1,R026,high risk,0.0,0.0,0.0,0,0,0,edad=adolescente AND presion_sistolica=elevada AND presion_diastolica=hipertension_severa AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0029,1,R029,high risk,0.0,0.0,0.0,0,0,0,edad=optima AND presion_sistolica=hipertension AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=hiperpirexia AND frecuencia_cardiaca=normal
RG0033,1,R033,high risk,0.0,0.0,0.0,0,0,0,edad=optima AND presion_sistolica=hipotension AND presion_diastolica=hipertension AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=febricular AND frecuencia_cardiaca=normal
RG0048,1,R048,high risk,0.0,0.0,0.0,0,0,0,edad=optima AND presion_sistolica=elevada AND presion_diastolica=normal AND azucar_sangre=normoglucemia AND temperatura_corporal=fiebre AND frecuencia_cardiaca=bradicardia
RG0050,1,R050,high risk,0.0,0.0,0.0,0,0,0,edad=avanzada AND presion_sistolica=hipotension AND presion_diastolica=elevada AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=hiperpirexia AND frecuencia_cardiaca=normal
RG0051,1,R051,high risk,0.0,0.0,0.0,0,0,0,edad=muy_avanzada AND presion_sistolica=hipotension AND presion_diastolica=normal AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0054,1,R054,high risk,0.0,0.0,0.0,0,0,0,edad=adolescente AND presion_sistolica=hipotension AND presion_diastolica=hipertension AND azucar_sangre=normoglucemia AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0057,1,R057,high risk,0.0,0.0,0.0,0,0,0,edad=optima AND presion_sistolica=hipotension AND presion_diastolica=hipertension AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0059,1,R059,high risk,0.0,0.0,0.0,0,0,0,edad=optima AND presion_sistolica=hipotension AND presion_diastolica=elevada AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=fiebre AND frecuencia_cardiaca=normal
RG0063,1,R063,high risk,0.0,0.0,0.0,0,0,0,edad=muy_avanzada AND presion_sistolica=hipertension AND presion_diastolica=hipertension_severa AND azucar_sangre=diabetes_manifiesta AND temperatura_corporal=normal AND frecuencia_cardiaca=normal
RG0065,1,R065,high risk,0.0,0.0,0.0,0,0,0,edad=adolescente AND presion_sistolica=elevada AND presion_diastolica=hipertension_severa AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=fiebre AND frecuencia_cardiaca=taquicardia
RG0068,1,R068,high risk,0.0,0.0,0.0,0,0,0,edad=avanzada AND presion_sistolica=hipertension_severa AND presion_diastolica=hipertension AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=febricular AND frecuencia_cardiaca=normal
RG0070,1,R070,high risk,0.0,0.0,0.0,0,0,0,edad=optima AND presion_sistolica=hipertension_severa AND presion_diastolica=elevada AND azucar_sangre=normoglucemia AND temperatura_corporal=febricular AND frecuencia_cardiaca=taquicardia
RG0072,1,R072,high risk,0.0,0.0,0.0,0,0,0,edad=avanzada AND presion_sistolica=hipertension AND presion_diastolica=hipertension_severa AND azucar_sangre=hiperglucemia_gestacional AND temperatura_corporal=fiebre AND frecuencia_cardiaca=taquicardia
